n,nruns,retries,neighbors,nwins,pwins,start,ave,end,steps
10.0,1000.0,1.0,2.0,29.0,0.029,13.552,1.838,6.149,1.0
10.0,1000.0,1.0,8.0,56.0,0.056,13.425,1.399,13.048,1.0
10.0,1000.0,1.0,32.0,90.0,0.09,13.488,1.207,37.1,1.0
10.0,1000.0,1.0,100.0,96.0,0.096,13.134,1.173,91.556,1.0
10.0,1000.0,10.0,2.0,181.0,0.181,13.451,1.752086904761904,6.09343253968254,5.023
10.0,1000.0,10.0,8.0,355.0,0.355,13.471,1.2878535714285713,12.613592460317463,4.512
10.0,1000.0,10.0,32.0,405.0,0.405,13.337,1.1534797619047619,35.05229285714286,4.4035
10.0,1000.0,10.0,100.0,415.0,0.415,13.387,1.0786896825396823,84.10669603174603,4.23
10.0,1000.0,100.0,2.0,507.0,0.507,13.262,1.7168536915154606,6.076603340141805,32.115
10.0,1000.0,100.0,8.0,752.0,0.752,13.432,1.2341199848692883,12.553984243223805,20.564
10.0,1000.0,100.0,32.0,789.0,0.789,13.213,1.0917298616404194,34.051141189342516,18.171
10.0,1000.0,100.0,100.0,797.0,0.797,13.359,1.0464995145049574,83.52623071874594,17.853
10.0,1000.0,320.0,2.0,630.0,0.63,13.457,1.7208666575020644,6.130787031590064,78.362
10.0,1000.0,320.0,8.0,855.0,0.855,13.398,1.253354028766515,12.492814622426984,40.159
10.0,1000.0,320.0,32.0,879.0,0.879,13.387,1.1117857042587678,34.75649664162954,34.1505
10.0,1000.0,320.0,100.0,877.0,0.877,13.243,1.0465264359889608,83.41705305996508,33.204
6.0,1000.0,1.0,2.0,71.0,0.071,6.827,1.136,3.802,1.0
6.0,1000.0,1.0,8.0,119.0,0.119,6.804,0.931,9.599,1.0
6.0,1000.0,1.0,32.0,129.0,0.129,6.921,0.902,31.32,1.0
6.0,1000.0,1.0,100.0,137.0,0.137,6.89,0.891,87.457,1.0
6.0,1000.0,10.0,2.0,188.0,0.188,6.837,1.1350869047619045,3.754160714285715,4.907
6.0,1000.0,10.0,8.0,325.0,0.325,6.892,0.8806670634920633,9.321811111111108,4.4075
6.0,1000.0,10.0,32.0,339.0,0.339,6.81,0.8422341269841268,29.337580158730162,4.3595
6.0,1000.0,10.0,100.0,361.0,0.361,6.846,0.8212309523809522,81.28128134920634,4.256
